"","station_id","date","avg_cars"
"1",11749,"2023-01-01",190.583333333333
"2",11749,"2023-01-02",109.25
"3",11749,"2023-01-03",76.5833333333333
"4",11749,"2023-01-05",128.75
"5",11749,"2023-01-06",169
"6",11749,"2023-01-07",179.166666666667
"7",11749,"2023-01-08",135.583333333333
"8",11749,"2023-01-09",104.583333333333
"9",11749,"2023-01-10",108.833333333333
"10",11749,"2023-01-11",115.416666666667
"11",11749,"2023-01-12",124.5
"12",11749,"2023-01-13",165.666666666667
"13",11749,"2023-01-14",200.083333333333
"14",11749,"2023-01-15",146.75
"15",11749,"2023-01-16",98
"16",11749,"2023-01-17",110
"17",11749,"2023-01-18",109.666666666667
"18",11749,"2023-01-19",121.75
"19",11749,"2023-01-20",170.583333333333
"20",11749,"2023-01-21",187.583333333333
"21",11749,"2023-01-22",139.333333333333
"22",11749,"2023-01-23",100.833333333333
"23",11749,"2023-01-24",104.416666666667
"24",11749,"2023-01-25",119.583333333333
"25",11749,"2023-01-26",125.416666666667
"26",11749,"2023-01-27",162.166666666667
"27",11749,"2023-01-28",223.416666666667
"28",11749,"2023-01-29",145
"29",11749,"2023-01-30",104.583333333333
"30",11749,"2023-01-31",110.583333333333
"31",11749,"2023-02-01",111.666666666667
"32",11749,"2023-02-02",115.833333333333
"33",11749,"2023-02-03",158.833333333333
"34",11749,"2023-02-04",185.333333333333
"35",11749,"2023-02-05",136.75
"36",11749,"2023-02-06",97.6666666666667
"37",11749,"2023-02-07",109
"38",11749,"2023-02-08",111.833333333333
"39",11749,"2023-02-09",128.666666666667
"40",11749,"2023-02-10",164.5
"41",11749,"2023-02-11",198.25
"42",11749,"2023-02-12",149
"43",11749,"2023-02-13",107.416666666667
"44",11749,"2023-02-14",122.916666666667
"45",11749,"2023-02-15",163.75
"46",11749,"2023-02-16",138.25
"47",11749,"2023-02-17",175.5
"48",11749,"2023-02-18",237.5
"49",11749,"2023-02-19",164.5
"50",11749,"2023-02-20",107.5
"51",11749,"2023-02-21",103.916666666667
"52",11749,"2023-02-22",65.75
"53",11749,"2023-02-23",72.8333333333333
"54",11749,"2023-02-24",149.583333333333
"55",11749,"2023-02-25",195.416666666667
"56",11749,"2023-02-26",155.083333333333
"57",11749,"2023-02-27",108.333333333333
"58",11749,"2023-02-28",111.333333333333
"59",11749,"2023-03-01",123.833333333333
"60",11749,"2023-03-02",131.5
"61",11749,"2023-03-03",171.666666666667
"62",11749,"2023-03-04",197.083333333333
"63",11749,"2023-03-06",99.6666666666667
"64",11749,"2023-03-07",115.916666666667
"65",11749,"2023-03-09",88
"66",11749,"2023-03-10",179.166666666667
"67",11749,"2023-03-11",186.166666666667
"68",11749,"2023-03-13",114.75
"69",11749,"2023-03-14",118.833333333333
"70",11749,"2023-03-15",126.166666666667
"71",11749,"2023-03-16",126.25
"72",11749,"2023-03-17",179.833333333333
"73",11749,"2023-03-18",205.333333333333
"74",11749,"2023-03-19",143.916666666667
"75",11749,"2023-03-20",108.083333333333
"76",11749,"2023-03-21",113.75
"77",11749,"2023-03-22",125.25
"78",11749,"2023-03-23",140.833333333333
"79",11749,"2023-03-24",190.166666666667
"80",11749,"2023-03-25",215.5
"81",11749,"2023-03-26",159.916666666667
"82",11749,"2023-03-27",115.833333333333
"83",11749,"2023-03-28",112.5
"84",11749,"2023-03-29",125.916666666667
"85",11749,"2023-03-30",126.5
"86",11749,"2023-03-31",99.5
"87",11749,"2023-04-03",120.75
"88",11749,"2023-04-04",124.416666666667
"89",11749,"2023-04-05",128.416666666667
"90",11749,"2023-04-06",151.916666666667
"91",11749,"2023-04-07",186
"92",11749,"2023-04-08",274
"93",11749,"2023-04-09",171.916666666667
"94",11749,"2023-04-10",115.416666666667
"95",11749,"2023-04-12",144
"96",11749,"2023-04-13",149.833333333333
"97",11749,"2023-04-14",202.416666666667
"98",11749,"2023-04-15",229.666666666667
"99",11749,"2023-04-16",144.25
"100",11749,"2023-04-17",121.416666666667
"101",11749,"2023-04-18",139.916666666667
"102",11749,"2023-04-19",133.416666666667
"103",11749,"2023-04-20",164.5
"104",11749,"2023-04-21",250.833333333333
"105",11749,"2023-04-22",273.583333333333
"106",11749,"2023-04-23",178.916666666667
"107",11749,"2023-04-24",143.583333333333
"108",11749,"2023-04-25",139.333333333333
"109",11749,"2023-04-26",132.833333333333
"110",11749,"2023-04-27",151.916666666667
